--------------------------
SDHDF Definition Overview
--------------------------
SDHDF Definition Version: 1.7
Author: Lawrence Toomey
Copyright: CSIRO 2019
--------------------------
SDHDF File Overview
- HDF_Object_Name -, - HDF_Object_Type -, - Description -
--------------------------
uwl_190905_144716.hdf,File,SDHDF format file
--------------------------
SDHDF Structure Overview
- HDF_Object_Name -, - HDF_Object_Type -, - Description -
--------------------------
/SB00,Group,SDHDF sub-band group
/SB00/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB00/cal_frequency,Dataset,SDHDF frequency dataset
/SB00/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB00/data,Dataset,SDHDF astronomy dataset
/SB00/frequency,Dataset,SDHDF frequency dataset
/SB00/weights,Dataset,SDHDF weights dataset
--------------------------
/SB01,Group,SDHDF sub-band group
/SB01/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB01/cal_frequency,Dataset,SDHDF frequency dataset
/SB01/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB01/data,Dataset,SDHDF astronomy dataset
/SB01/frequency,Dataset,SDHDF frequency dataset
/SB01/weights,Dataset,SDHDF weights dataset
--------------------------
/SB02,Group,SDHDF sub-band group
/SB02/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB02/cal_frequency,Dataset,SDHDF frequency dataset
/SB02/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB02/data,Dataset,SDHDF astronomy dataset
/SB02/frequency,Dataset,SDHDF frequency dataset
/SB02/weights,Dataset,SDHDF weights dataset
--------------------------
/SB03,Group,SDHDF sub-band group
/SB03/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB03/cal_frequency,Dataset,SDHDF frequency dataset
/SB03/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB03/data,Dataset,SDHDF astronomy dataset
/SB03/frequency,Dataset,SDHDF frequency dataset
/SB03/weights,Dataset,SDHDF weights dataset
--------------------------
/SB04,Group,SDHDF sub-band group
/SB04/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB04/cal_frequency,Dataset,SDHDF frequency dataset
/SB04/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB04/data,Dataset,SDHDF astronomy dataset
/SB04/frequency,Dataset,SDHDF frequency dataset
/SB04/weights,Dataset,SDHDF weights dataset
--------------------------
/SB05,Group,SDHDF sub-band group
/SB05/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB05/cal_frequency,Dataset,SDHDF frequency dataset
/SB05/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB05/data,Dataset,SDHDF astronomy dataset
/SB05/frequency,Dataset,SDHDF frequency dataset
/SB05/weights,Dataset,SDHDF weights dataset
--------------------------
/SB06,Group,SDHDF sub-band group
/SB06/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB06/cal_frequency,Dataset,SDHDF frequency dataset
/SB06/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB06/data,Dataset,SDHDF astronomy dataset
/SB06/frequency,Dataset,SDHDF frequency dataset
/SB06/weights,Dataset,SDHDF weights dataset
--------------------------
/SB07,Group,SDHDF sub-band group
/SB07/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB07/cal_frequency,Dataset,SDHDF frequency dataset
/SB07/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
/SB07/data,Dataset,SDHDF astronomy dataset
/SB07/frequency,Dataset,SDHDF frequency dataset
/SB07/weights,Dataset,SDHDF weights dataset
--------------------------
/SB08,Group,SDHDF sub-band group
/SB08/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
/SB08/cal_frequency,Dataset,SDHDF frequency dataset
