###############################################################################
SDHDF Definition Overview
###############################################################################
SDHDF Definition Version: 1.9
Author: Lawrence Toomey
Copyright: CSIRO 2020
###############################################################################

###############################################################################
SDHDF File Overview
HDF_Object_Name, HDF_Object_Type, Description
###############################################################################
uwl_190905_111646.hdf,File,SDHDF format file
###############################################################################

###############################################################################
SDHDF Structure Overview
HDF_Object_Name, HDF_Object_Type, Description
###############################################################################
/beam_0,Group,SDHDF group containing data products specific to the antenna beam
/beam_0/band_SB0,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB0/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB0/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB1,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB1/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB1/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB10,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB10/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB10/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB11,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB11/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB11/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB12,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB12/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB12/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB13,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB13/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB13/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB14,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB14/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB14/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB15,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB15/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB15/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB16,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB16/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB16/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB17,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB17/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB17/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB18,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB18/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB18/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB19,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB19/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB19/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB2,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB2/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB2/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB20,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB20/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB20/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB21,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB21/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB21/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB22,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB22/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB22/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB23,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB23/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB23/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB24,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB24/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB24/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB25,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB25/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB25/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB3,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB3/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB3/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB4,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB4/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB4/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB5,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB5/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB5/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB6,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB6/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB6/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB7,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB7/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB7/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB8,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB8/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB8/metadata,Group,SDHDF group containing observation metadata
/beam_0/band_SB9,Group,SDHDF group containing data products specific to the frequency band
/beam_0/band_SB9/astronomy_data,Group,SDHDF group containing observation data
/beam_0/band_SB9/metadata,Group,SDHDF group containing observation metadata
/beam_0/metadata,Group,SDHDF group containing observation metadata
/beam_0/metadata/band_params,Dataset,Metadata specific to the frequency bands of the antenna beam
###############################################################################
/config,Group,SDHDF group containing configuration parameters as defined at the time of the observation
/config/backend_config,Dataset,Astronomy backend configuration
###############################################################################
/metadata,Group,SDHDF group containing observation metadata
/metadata/beam_params,Dataset,Metadata specific to the antenna beam
/metadata/history,Dataset,Metadata specific to the processing history of the file
/metadata/primary_header,Dataset,General observation metadata
/metadata/software_versions,Dataset,Metadata specific to software packages used for creating or processing the file
###############################################################################

###############################################################################
SDHDF Structure Detail
HDF_Object_Name, HDF_Object_Type, Description
###############################################################################
/beam_0,Group,SDHDF group containing data products specific to the antenna beam
